ts,name,cpuPct,mem
2026-07-23T12:06:35,lucky-star-prometheus,0.93%,66.03MiB / 15.47GiB
2026-07-23T12:06:35,lucky-star-zookeeper,0.08%,134MiB / 15.47GiB
2026-07-23T12:06:43,lucky-star-gateway-service,0.33%,463.2MiB / 15.47GiB
2026-07-23T12:06:43,lucky-star-game-service,0.45%,675.9MiB / 15.47GiB
2026-07-23T12:06:43,lucky-star-member-service,0.40%,587.4MiB / 15.47GiB
2026-07-23T12:06:43,lucky-star-wallet-service,1.41%,750.3MiB / 15.47GiB
2026-07-23T12:06:43,lucky-star-admin-service,0.36%,603.5MiB / 15.47GiB
2026-07-23T12:06:43,lucky-star-rank-service,4.77%,509.7MiB / 15.47GiB
2026-07-23T12:06:43,lucky-star-notification-service,0.42%,329.5MiB / 15.47GiB
2026-07-23T12:06:43,lucky-star-kafka-ui,0.08%,265.5MiB / 15.47GiB
2026-07-23T12:06:43,lucky-star-postgres,0.17%,382.7MiB / 15.47GiB
2026-07-23T12:06:43,lucky-star-redis,1.90%,8.969MiB / 15.47GiB
2026-07-23T12:06:43,lucky-star-kafka,2.85%,954.8MiB / 15.47GiB
2026-07-23T12:06:43,lucky-star-mysql,1.03%,508.1MiB / 15.47GiB
2026-07-23T12:06:43,lucky-star-grafana,0.08%,52.21MiB / 15.47GiB
2026-07-23T12:06:43,lucky-star-prometheus,0.44%,66.19MiB / 15.47GiB
2026-07-23T12:06:43,lucky-star-zookeeper,0.10%,133.4MiB / 15.47GiB
2026-07-23T12:06:49,lucky-star-gateway-service,2.88%,464MiB / 15.47GiB
2026-07-23T12:06:49,lucky-star-game-service,0.21%,676MiB / 15.47GiB
2026-07-23T12:06:49,lucky-star-member-service,3.20%,587.8MiB / 15.47GiB
2026-07-23T12:06:49,lucky-star-wallet-service,1.28%,750.3MiB / 15.47GiB
2026-07-23T12:06:49,lucky-star-admin-service,0.48%,603.6MiB / 15.47GiB
2026-07-23T12:06:49,lucky-star-rank-service,3.10%,510.1MiB / 15.47GiB
2026-07-23T12:06:49,lucky-star-notification-service,0.46%,329.7MiB / 15.47GiB
2026-07-23T12:06:49,lucky-star-kafka-ui,0.08%,265.5MiB / 15.47GiB
2026-07-23T12:06:49,lucky-star-postgres,0.52%,383.9MiB / 15.47GiB
2026-07-23T12:06:49,lucky-star-redis,0.38%,8.715MiB / 15.47GiB
2026-07-23T12:06:49,lucky-star-kafka,17.88%,954.2MiB / 15.47GiB
2026-07-23T12:06:49,lucky-star-mysql,0.53%,507.9MiB / 15.47GiB
2026-07-23T12:06:49,lucky-star-grafana,0.06%,52.21MiB / 15.47GiB
2026-07-23T12:06:49,lucky-star-prometheus,0.48%,66.17MiB / 15.47GiB
2026-07-23T12:06:49,lucky-star-zookeeper,0.08%,133.5MiB / 15.47GiB
2026-07-23T12:06:57,lucky-star-gateway-service,0.66%,463.5MiB / 15.47GiB
2026-07-23T12:06:57,lucky-star-game-service,0.40%,675.2MiB / 15.47GiB
2026-07-23T12:06:57,lucky-star-member-service,0.51%,586.1MiB / 15.47GiB
2026-07-23T12:06:57,lucky-star-wallet-service,1.13%,749.8MiB / 15.47GiB
2026-07-23T12:06:57,lucky-star-admin-service,0.43%,604.2MiB / 15.47GiB
2026-07-23T12:06:57,lucky-star-rank-service,1.14%,509.5MiB / 15.47GiB
2026-07-23T12:06:57,lucky-star-notification-service,0.47%,329.6MiB / 15.47GiB
2026-07-23T12:06:57,lucky-star-kafka-ui,6.85%,265.8MiB / 15.47GiB
2026-07-23T12:06:57,lucky-star-postgres,0.20%,382.7MiB / 15.47GiB
2026-07-23T12:06:57,lucky-star-redis,0.33%,8.668MiB / 15.47GiB
2026-07-23T12:06:57,lucky-star-kafka,2.71%,954.6MiB / 15.47GiB
2026-07-23T12:06:57,lucky-star-mysql,3.57%,509.1MiB / 15.47GiB
2026-07-23T12:06:57,lucky-star-grafana,0.05%,52.22MiB / 15.47GiB
2026-07-23T12:06:57,lucky-star-prometheus,1.46%,66.07MiB / 15.47GiB
2026-07-23T12:06:57,lucky-star-zookeeper,0.08%,133.7MiB / 15.47GiB
2026-07-23T12:07:04,lucky-star-gateway-service,0.22%,463MiB / 15.47GiB
